N,Nx,nrun,runtime
134217728,2097152,6,68.937790432
134217728,2097152,9,65.395896052
134217728,2097152,17,65.743269467
134217728,2097152,3,72.432636709
134217728,2097152,10,65.311869295
134217728,2097152,2,71.846154741
134217728,2097152,15,65.431172555
134217728,2097152,20,65.914635295
134217728,2097152,16,65.565788876
134217728,2097152,25,65.076062204
134217728,2097152,21,65.476937582
134217728,2097152,23,65.415099905
134217728,131072,22,42.214346116
134217728,131072,18,41.93817226
134217728,131072,8,42.508761017
134217728,131072,7,42.814085251
134217728,131072,24,43.276629824
134217728,131072,14,41.592454831
134217728,131072,5,41.641217207
134217728,131072,4,42.090541558
134217728,131072,13,42.501146918
134217728,131072,1,41.545776857
134217728,131072,19,42.375657549
134217728,131072,11,42.876550698
134217728,131072,12,41.995519078
134217728,131072,6,42.182685876
134217728,131072,9,42.05248924
134217728,131072,17,41.928549624
134217728,131072,3,41.783381278
134217728,131072,10,42.780018124
134217728,131072,2,43.098835956
134217728,131072,15,41.37313644
134217728,131072,20,42.581876053
134217728,131072,16,41.451080872
134217728,131072,25,42.750609247
134217728,131072,21,42.925362379
134217728,131072,23,42.083171475
