num_run,N,num_blocks_x,num_blocks_y,num_threads_per_x,num_threads_per_y,device_runtime [ms]
4,256,30,30,32,512,0.011296
5,256,30,30,32,512,0.01104
6,256,30,30,32,512,0.011968
7,256,30,30,32,512,0.01232
8,256,30,30,32,512,0.013568
9,256,30,30,32,512,0.01216
10,256,30,30,32,512,0.006496
11,256,30,30,32,512,0.01408
12,256,30,30,32,512,0.016224
13,256,30,30,32,512,0.014368
14,256,30,30,32,512,0.012288
15,256,30,30,32,512,0.012288
16,256,30,30,32,512,0.013536
17,256,30,30,32,512,0.010976
18,256,30,30,32,512,0.012832
19,256,30,30,32,512,0.01136
20,256,30,30,32,512,0.014336
21,256,30,30,32,512,0.01296
22,256,30,30,32,512,0.011616
23,256,30,30,32,512,0.012128
24,256,30,30,32,512,0.012288
25,256,30,30,32,512,0.012928
26,256,30,30,32,512,0.012768
27,256,30,30,32,512,0.012768
28,256,30,30,32,512,0.01072
29,256,30,30,32,512,0.014304
30,256,30,30,32,512,0.016608
31,256,30,30,32,512,0.012288
32,256,30,30,32,512,0.012928
1,256,30,30,32,1024,0.012384
2,256,30,30,32,1024,0.016384
3,256,30,30,32,1024,0.014336
4,256,30,30,32,1024,0.013216
5,256,30,30,32,1024,0.015264
6,256,30,30,32,1024,0.01456
7,256,30,30,32,1024,0.013376
8,256,30,30,32,1024,0.012352
9,256,30,30,32,1024,0.012288
10,256,30,30,32,1024,0.012288
11,256,30,30,32,1024,0.011072
12,256,30,30,32,1024,0.013664
13,256,30,30,32,1024,0.01616
14,256,30,30,32,1024,0.016448
15,256,30,30,32,1024,0.01424
16,256,30,30,32,1024,0.014272
17,256,30,30,32,1024,0.014208
18,256,30,30,32,1024,0.01312
19,256,30,30,32,1024,0.018432
20,256,30,30,32,1024,0.012256
21,256,30,30,32,1024,0.014432
22,256,30,30,32,1024,0.011552
23,256,30,30,32,1024,0.01536
24,256,30,30,32,1024,0.012736
25,256,30,30,32,1024,0.01328
26,256,30,30,32,1024,0.016192
27,256,30,30,32,1024,0.016128
28,256,30,30,32,1024,0.013984
29,256,30,30,32,1024,0.013984
30,256,30,30,32,1024,0.014336
