num_run,N,num_blocks_x,num_blocks_y,num_threads_per_x,num_threads_per_y,device_runtime [ms],host_runtime [ms]
1,16,30,1920,256,32,0.02352,0.382
1,16,30,1920,256,64,0.020224,0.357
1,16,30,1920,256,128,0.021472,0.47100000000000003
1,16,30,1920,256,256,0.021408,0.274
1,16,30,1920,256,512,0.02128,0.524
1,16,30,1920,256,1024,0.022432,0.357
1,16,30,1920,512,32,0.019456,0.515
1,16,30,1920,512,64,0.021888,0.52
1,16,30,1920,512,128,0.022144,0.466
1,16,30,1920,512,256,0.023296,0.581
1,16,30,1920,512,512,0.02256,0.507
1,16,30,1920,512,1024,0.0224,0.289
1,16,30,1920,1024,32,0.021792,0.47200000000000003
1,16,30,1920,1024,64,0.022272,0.534
1,16,30,1920,1024,128,0.020608,0.417
1,16,30,1920,1024,256,0.020992,0.515
1,16,30,1920,1024,512,0.021184,0.28800000000000003
1,16,30,1920,1024,1024,0.023552,0.27
1,16,60,30,32,32,0.042368,0.493
1,16,60,30,32,64,0.021568,0.513
1,16,60,30,32,128,0.020864,0.787
1,16,60,30,32,256,0.020896,0.434
1,16,60,30,32,512,0.021248,0.544
1,16,60,30,32,1024,0.022592,0.658
1,16,60,30,64,32,0.022528,0.48
1,16,60,30,64,64,0.020576,0.309
1,16,60,30,64,128,0.022336,0.579
1,16,60,30,64,256,0.024256,0.32
1,16,60,30,64,512,0.017664,0.544
1,16,60,30,64,1024,0.022208,0.5630000000000001
1,16,60,30,128,32,0.022304,0.61
1,16,60,30,128,64,0.021152,0.257
1,16,60,30,128,128,0.023808,0.47700000000000004
1,16,60,30,128,256,0.021856,0.417
1,16,60,30,128,512,0.023168,0.514
1,16,60,30,128,1024,0.022176,0.636
1,16,60,30,256,32,0.022176,0.603
1,16,60,30,256,64,0.021152,0.505
1,16,60,30,256,128,0.021376,0.426
1,16,60,30,256,256,0.022368,0.373
1,16,60,30,256,512,0.022496,0.529
1,16,60,30,256,1024,0.020352,0.41300000000000003
1,16,60,30,512,32,0.02208,0.433
1,16,60,30,512,64,0.024192,0.307
1,16,60,30,512,128,0.021408,0.366
1,16,60,30,512,256,0.023232,0.5680000000000001
1,16,60,30,512,512,0.02144,0.307
1,16,60,30,512,1024,0.018912,0.467
1,16,60,30,1024,32,0.019008,0.534
1,16,60,30,1024,64,0.020768,0.318
1,16,60,30,1024,128,0.018624,0.591
1,16,60,30,1024,256,0.022336,0.508
1,16,60,30,1024,512,0.019904,0.515
1,16,60,30,1024,1024,0.020032,0.518
1,16,60,60,32,32,0.058496,0.404
1,16,60,60,32,64,0.022912,0.389
1,16,60,60,32,128,0.021248,0.35100000000000003
1,16,60,60,32,256,0.020512,0.28600000000000003
1,16,60,60,32,512,0.020512,0.26
1,16,60,60,32,1024,0.021024,0.464
1,16,60,60,64,32,0.021472,0.465
1,16,60,60,64,64,0.020608,0.5690000000000001
1,16,60,60,64,128,0.023296,0.317
1,16,60,60,64,256,0.022336,0.464
1,16,60,60,64,512,0.020224,0.402
1,16,60,60,64,1024,0.020768,0.53
1,16,60,60,128,32,0.339808,0.363
1,16,60,60,128,64,0.021056,0.268
1,16,60,60,128,128,0.21936,0.501
1,16,60,60,128,256,0.018464,0.521
1,16,60,60,128,512,0.01984,0.441
1,16,60,60,128,1024,0.021536,0.455
1,16,60,60,256,32,0.018624,0.28700000000000003
1,16,60,60,256,64,0.019776,0.443
1,16,60,60,256,128,0.023136,0.263
1,16,60,60,256,256,0.018816,0.429
1,16,60,60,256,512,0.019552,0.5750000000000001
1,16,60,60,256,1024,0.022336,0.326
1,16,60,60,512,32,0.02256,0.27
1,16,60,60,512,64,0.02016,0.442
1,16,60,60,512,128,0.019904,0.432
1,16,60,60,512,256,0.020288,0.334
1,16,60,60,512,512,0.024832,0.504
1,16,60,60,512,1024,0.021984,0.28800000000000003
1,16,60,60,1024,32,0.015424,0.356
1,16,60,60,1024,64,0.020064,0.462
1,16,60,60,1024,128,0.162112,0.31
1,16,60,60,1024,256,0.013248,0.28600000000000003
