N,Nx,nrun,runtime
8388608,33554432,13,7.52632689
8388608,33554432,1,7.479934104
8388608,33554432,19,7.476153427
8388608,33554432,11,7.473364268
8388608,33554432,12,7.561847726
8388608,33554432,6,7.487392964
8388608,33554432,9,7.475743375
8388608,33554432,17,7.475415018
8388608,33554432,3,7.467570383
8388608,33554432,10,7.521616518
8388608,33554432,2,7.464843151
8388608,33554432,15,7.487784991
8388608,33554432,20,7.49492238
8388608,33554432,16,7.606609422
8388608,33554432,25,7.505766558
8388608,33554432,21,7.455587197
8388608,33554432,23,7.460488664
