num_run,N,num_blocks_x,num_blocks_y,num_threads_per_x,num_threads_per_y,device_runtime [ms]
15,16384,30,30,128,1024,0.014336
16,16384,30,30,128,1024,0.010528
17,16384,30,30,128,1024,0.012288
18,16384,30,30,128,1024,0.014336
19,16384,30,30,128,1024,0.022528
20,16384,30,30,128,1024,0.012256
21,16384,30,30,128,1024,0.014336
22,16384,30,30,128,1024,0.014336
23,16384,30,30,128,1024,0.010144
24,16384,30,30,128,1024,0.014688
25,16384,30,30,128,1024,0.016352
26,16384,30,30,128,1024,0.012224
27,16384,30,30,128,1024,0.012192
28,16384,30,30,128,1024,0.014688
29,16384,30,30,128,1024,0.017696
30,16384,30,30,128,1024,0.012288
31,16384,30,30,128,1024,0.014336
32,16384,30,30,128,1024,0.01472
1,16384,30,30,256,64,0.023168
2,16384,30,30,256,64,0.012288
3,16384,30,30,256,64,0.014336
4,16384,30,30,256,64,0.012288
5,16384,30,30,256,64,0.014336
6,16384,30,30,256,64,0.01216
7,16384,30,30,256,64,0.012576
8,16384,30,30,256,64,0.015392
9,16384,30,30,256,64,0.014816
10,16384,30,30,256,64,0.014336
11,16384,30,30,256,64,0.014784
12,16384,30,30,256,64,0.014208
13,16384,30,30,256,64,0.011264
14,16384,30,30,256,64,0.014336
15,16384,30,30,256,64,0.01216
16,16384,30,30,256,64,0.014528
17,16384,30,30,256,64,0.011808
18,16384,30,30,256,64,0.013248
19,16384,30,30,256,64,0.014336
20,16384,30,30,256,64,0.011712
21,16384,30,30,256,64,0.011296
22,16384,30,30,256,64,0.011904
23,16384,30,30,256,64,0.013184
24,16384,30,30,256,64,0.012224
25,16384,30,30,256,64,0.014432
26,16384,30,30,256,64,0.01424
27,16384,30,30,256,64,0.01216
28,16384,30,30,256,64,0.012288
29,16384,30,30,256,64,0.01072
30,16384,30,30,256,64,0.011936
31,16384,30,30,256,64,0.014496
32,16384,30,30,256,64,0.013696
1,16384,30,30,256,128,0.015392
2,16384,30,30,256,128,0.006144
3,16384,30,30,256,128,0.014304
4,16384,30,30,256,128,0.014336
5,16384,30,30,256,128,0.014496
6,16384,30,30,256,128,0.012288
7,16384,30,30,256,128,0.014368
8,16384,30,30,256,128,0.012
9,16384,30,30,256,128,0.012256
10,16384,30,30,256,128,0.011008
11,16384,30,30,256,128,0.011936
12,16384,30,30,256,128,0.012224
13,16384,30,30,256,128,0.012288
14,16384,30,30,256,128,0.012224
15,16384,30,30,256,128,0.012416
16,16384,30,30,256,128,0.014336
17,16384,30,30,256,128,0.01536
18,16384,30,30,256,128,0.014016
19,16384,30,30,256,128,0.01488
20,16384,30,30,256,128,0.014336
21,16384,30,30,256,128,0.012032
22,16384,30,30,256,128,0.006208
23,16384,30,30,256,128,0.0112
24,16384,30,30,256,128,0.01024
25,16384,30,30,256,128,0.014336
26,16384,30,30,256,128,0.012256
27,16384,30,30,256,128,0.022528
28,16384,30,30,256,128,0.014368
29,16384,30,30,256,128,0.075776
30,16384,30,30,256,128,0.014656
31,16384,30,30,256,128,0.014336
32,16384,30,30,256,128,0.015808
1,16384,30,30,256,256,0.014432
2,16384,30,30,256,256,0.012544
3,16384,30,30,256,256,0.014336
4,16384,30,30,256,256,0.013248
5,16384,30,30,256,256,0.011936
6,16384,30,30,256,256,0.014336
7,16384,30,30,256,256,0.016384
8,16384,30,30,256,256,0.014816
9,16384,30,30,256,256,0.012288
10,16384,30,30,256,256,0.014112
11,16384,30,30,256,256,0.012288
12,16384,30,30,256,256,0.014336
13,16384,30,30,256,256,0.014528
14,16384,30,30,256,256,0.014336
15,16384,30,30,256,256,0.015808
16,16384,30,30,256,256,0.014336
17,16384,30,30,256,256,0.014944
18,16384,30,30,256,256,0.014304
19,16384,30,30,256,256,0.024352
20,16384,30,30,256,256,0.016064
21,16384,30,30,256,256,0.01024
22,16384,30,30,256,256,0.012288
23,16384,30,30,256,256,0.011104
24,16384,30,30,256,256,0.014336
25,16384,30,30,256,256,0.013472
26,16384,30,30,256,256,0.012288
27,16384,30,30,256,256,0.020096
28,16384,30,30,256,256,0.016832
29,16384,30,30,256,256,0.013152
30,16384,30,30,256,256,0.016384
31,16384,30,30,256,256,0.014336
32,16384,30,30,256,256,0.014528
1,16384,30,30,256,512,0.015552
2,16384,30,30,256,512,0.019104
3,16384,30,30,256,512,0.014656
4,16384,30,30,256,512,0.015392
5,16384,30,30,256,512,0.024576
6,16384,30,30,256,512,0.015904
7,16384,30,30,256,512,0.01232
8,16384,30,30,256,512,0.01456
9,16384,30,30,256,512,0.014624
10,16384,30,30,256,512,0.012256
11,16384,30,30,256,512,0.015936
12,16384,30,30,256,512,0.012288
13,16384,30,30,256,512,0.015392
14,16384,30,30,256,512,0.014752
15,16384,30,30,256,512,0.018432
