N,Nx,runtime-avg,runtime-var
1048576,2048,0.18653749404000003,1.6847503190144597e-06
1048576,4096,0.20420940768,5.856526430647643e-06
1048576,8192,0.22357529732,2.0028768831236406e-05
1048576,16384,0.24233089139999997,1.4192969114099153e-05
1048576,32768,0.26280474984,2.083078050294723e-06
1048576,65536,0.29438640304,1.504359023723703e-06
1048576,131072,0.32577121388,4.3824171409713333e-05
1048576,262144,0.35467720580000006,1.6683990674459492e-05
1048576,524288,0.38173325312,6.214333130066028e-06
1048576,1048576,0.4151430286,1.1920107095820767e-05
1048576,2097152,0.5312167077200001,2.5035813712724124e-05
1048576,4194304,0.66577360024,1.0263433295406609e-05
1048576,8388608,0.7803658366799999,6.185747745246296e-06
1048576,16777216,0.9005699745200001,1.972767068861858e-05
1048576,33554432,1.04828656828,4.2618386774212305e-05
2097152,1024,0.33726083132000007,9.7321749562396e-06
2097152,2048,0.367938328,8.493740205234905e-06
2097152,4096,0.40149479944000005,4.8356316524125e-06
2097152,8192,0.44020802056,3.170101900819775e-06
2097152,16384,0.47724695023999997,6.792913068187437e-06
2097152,32768,0.5208396712,1.5691761300572106e-05
2097152,65536,0.5855090804799999,1.0840674607737325e-05
2097152,131072,0.64120838712,8.434082904841364e-06
2097152,262144,0.70272108932,1.6009651318227635e-05
2097152,524288,0.7528907574799999,1.20727023839753e-05
2097152,1048576,0.8247719616800001,6.544268636578838e-05
2097152,2097152,1.0419718778799998,3.995102674950819e-05
2097152,4194304,1.31161482744,5.49657833646665e-05
2097152,8388608,1.5247548332800003,7.160334091902036e-05
2097152,16777216,1.7439328558,0.0001791000134785698
2097152,33554432,1.9770964894800003,0.00012189395154336421
4194304,1024,0.6679262766,6.591927283929069e-06
4194304,2048,0.7297089329600002,6.20371705986362e-06
4194304,4096,0.7989287432800002,8.6471842121695e-06
4194304,8192,0.87634612748,3.079351210128488e-05
4194304,16384,0.9492825921600001,3.5346959854380104e-05
4194304,32768,1.04242282704,9.232127250017866e-05
4194304,65536,1.16468064356,4.722532982672186e-05
4194304,131072,1.2814862868399999,8.306185685111024e-05
4194304,262144,1.39806184932,1.8984688282940936e-05
4194304,524288,1.49860308848,5.0872543834802566e-05
4194304,1048576,1.6340578174,7.167033484604892e-05
4194304,2097152,2.0763628824400002,7.776315908889524e-05
4194304,4194304,2.60364454872,0.0003002849328787328
4194304,8388608,3.0102357974,0.00013169075014502832
4194304,16777216,3.4175779631600007,0.0004419818579997417
4194304,33554432,3.8295452500800002,0.0009833220607249192
8388608,1024,1.3290060852799999,2.2689913491859503e-05
8388608,2048,1.4555697668000003,2.6900687709017408e-05
8388608,4096,1.59228714432,3.565400282642432e-05
8388608,8192,1.74701483224,0.00011424605745965397
8388608,16384,1.89757765912,0.00012169681536231236
8388608,32768,2.06692901776,0.00012605805527699093
8388608,65536,2.32559600084,0.00010847152608548312
8388608,131072,2.54473257624,0.00015524004358912296
8388608,262144,2.7837978575599998,0.00011913948778743272
8388608,524288,2.9791812489200002,0.00010281032592001457
8388608,1048576,3.24352796724,0.0003102224389667751
8388608,2097152,4.1282287206,0.00023018851286962818
8388608,4194304,5.1752706382,0.00038068549881240785
8388608,8388608,6.006156204720001,0.0010159051623958072
8388608,16777216,6.77223287852,0.001914238583728768
8388608,33554432,7.5008076602800005,0.0016821431669820188
16777216,1024,2.6472334319599997,7.9942575369224e-05
16777216,2048,2.9000019938399997,0.00015497769782776537
16777216,4096,3.1784630367599997,0.00030134600659639023
16777216,8192,3.48281382964,0.0002685290217882976
16777216,16384,3.77104403184,0.0005805578557373653
16777216,32768,4.123853878919999,0.0006383630832027156
16777216,65536,4.62510280716,0.0002798976183780348
16777216,131072,5.08859345548,0.0007136182465026803
16777216,262144,5.5685963316,0.000535320070865051
16777216,524288,5.95218439596,0.0009768790355918669
16777216,1048576,6.481670976480001,0.000607857641732408
16777216,2097152,8.23170870596,0.001244804704623951
16777216,4194304,10.352716562160001,0.0022714868897209177
16777216,8388608,11.93089815844,0.002414098853054426
16777216,16777216,13.46587029156,0.005118025482319371
16777216,33554432,14.9869031956,0.006495406532313269
33554432,1024,5.297882598040001,0.00010231407176262232
33554432,2048,5.79128049972,0.00012134443748991074
33554432,4096,6.3366696356,0.00013397896414888823
33554432,8192,6.95360854896,0.0009019824205671927
33554432,16384,7.5669522773199995,0.002076902245781671
33554432,32768,8.245887475799998,0.002804036800315959
33554432,65536,9.26796835088,0.004741512228110783
33554432,131072,10.18727651224,0.0069180146279782815
33554432,262144,11.10348732148,0.002275664332009347
33554432,524288,11.870432391640001,0.002331447719077379
33554432,1048576,12.91124033704,0.003791617567503868
33554432,2097152,16.44974710444,0.00760637030369081
33554432,4194304,20.57151922896,0.010831108761593274
33554432,8388608,23.83627444924,0.01499264335095808
33554432,16777216,26.861121014039995,0.04042701528333014
33554432,33554432,29.61608499912,0.01781641580503081
67108864,1024,10.56640194744,0.00034382236254491616
67108864,2048,11.577530590599999,0.004326086742087226
67108864,4096,12.66255906932,0.0009678391751977706
67108864,8192,13.886777918399998,0.0015985000701944582
67108864,16384,15.035118411760003,0.0019314689240881938
